saddr,daddr,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.1.82,172.16.2.31,3477370,10,3,60,1448,60,0,6.0,18.97366596,1448,0,482.6666667,836.0031898,433.6610714,3.738457512,289780.8333,729032.1335,2590707.0,3.0,3477370.0,386374.4444,887251.1927,2723938.0,3.0,3094130.0,1547065.0,1664034.388,2723715.0,370415.0,0,0,0,0,336,112,2.875736548,0.862720964,0,1448,107.7142857,386.0919437,149066.989,1,4,0,1,11,0,0,0,0,116.0,6.0,482.6666667,0,0,0,0,0,0,0,4,0,111,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
172.16.0.73,172.16.0.121,8741,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,343.210159,4370.5,6176.577734,8738.0,3.0,8741.0,4370.5,6176.577734,8738.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,343.210159,0.0,0,0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,496,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
172.16.3.193,172.16.3.108,28478,11,0,15400,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,540768.3124,386.2630803,2847.8,1430.509917,6421.0,1173.0,28478.0,2847.8,1430.509917,6421.0,1173.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,88,0,386.2630803,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1527.272727,1400.0,0.0,0,0,0,15400,11,540768,1,1400,0,0,0,0,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.0.59,172.16.0.172,68537578,12,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.175086432,6230688.909,4525738.903,14794251.0,828903.0,68537578.0,6230688.909,4525738.903,14794251.0,828903.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0,0.175086432,0.0,0,0,0.0,0.0,0.0,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,6116156.5,6855969.465,10964059.0,1268254.0,9384210.833,3388583.311,14794251.0,5041085.0,Network
172.16.1.19,172.16.2.99,1487,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1344.989913,1487.0,0.0,1487.0,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,672.4949563,672.4949563,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.3.24,172.16.2.110,563,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3552.397869,563.0,0.0,563.0,563.0,563.0,563.0,0.0,563.0,563.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3552.397869,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.3.151,172.16.0.165,96871186,15,1,2224,0,278,0,148.2666667,143.5585827,0,0,0.0,0.0,22.95832323,0.165167793,6458079.067,11100000.0,41000000.0,2697.0,96900000.0,6919370.429,11300000.0,41000000.0,2697.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,520,40,0.154844806,0.010322987,0,278,130.8235294,143.02982,20457.52941,0,6,0,8,11,0,0,0,0,139.0,148.2666667,0.0,0,0,0,0,0,0,0,139,0,0,64240,65160,8,32,5802846.0,2072756.25,7268506.0,4337186.0,17100000.0,14600000.0,41000000.0,5128875.0,SlowDDoS
172.16.3.74,172.16.3.191,26256,10,0,14000,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,533211.4564,380.865326,2917.333333,1116.353887,5712.0,2335.0,26256.0,2917.333333,1116.353887,5712.0,2335.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,380.865326,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1540.0,1400.0,0.0,0,0,0,14000,10,533211,1,1400,0,0,0,0,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.3.255,172.16.1.50,3109796,3,0,1548,0,516,516,516.0,0.0,0,0,0.0,0.0,497.7818481,0.964693504,1554898.0,645222.2099,2011139.0,1098657.0,3109796.0,1554898.0,645222.2099,2011139.0,1098657.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,0.964693504,0.0,516,516,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0,688.0,516.0,0.0,0,0,0,0,0,0,1,516,0,0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.1.193,172.16.1.32,82575369,15,1,2898,0,322,0,193.2,163.283802,0,0,0.0,0.0,35.09521102,0.19376238,5505024.6,10100000.0,36800000.0,1890.0,82600000.0,5898240.643,10400000.0,36800000.0,1890.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,512,40,0.181652231,0.012110149,0,322,170.4705882,165.6676332,27445.76471,0,5,0,9,12,0,0,0,0,181.125,193.2,0.0,0,0,0,0,0,0,0,181,0,0,64240,65160,9,32,16600000.0,0.0,16600000.0,16600000.0,22000000.0,13900000.0,36800000.0,9190265.0,SlowDDoS
172.16.2.102,172.16.2.201,72196602,18,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.249319213,4246858.941,4061820.373,15628881.0,404612.0,72196602.0,4246858.941,4061820.373,15628881.0,404612.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,360,0,0.249319213,0.0,0,0,0.0,0.0,0.0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,7837997.25,6186708.951,16942028.0,3383528.0,10211153.25,4196791.611,15628881.0,6251866.0,Network
172.16.0.8,172.16.2.7,76104005,22,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.289078085,3624000.238,2788747.61,8908679.0,399061.0,76104005.0,3624000.238,2788747.61,8908679.0,399061.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,440,0,0.289078085,0.0,0,0,0.0,0.0,0.0,0,0,0,0,22,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,6366329.5,6056787.407,13097468.0,1238909.0,7329937.5,1306912.012,8908679.0,5042335.0,Network
172.16.2.201,172.16.1.181,741,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5398.110661,247.0,5.567764363,253.0,242.0,741.0,247.0,5.567764363,253.0,242.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,152,0,5398.110661,0.0,0,0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowDDoS
172.16.0.160,172.16.2.27,65484533,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.106895471,10900000.0,12600000.0,34100000.0,1030953.0,65500000.0,10900000.0,12600000.0,34100000.0,1030953.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.106895471,0.0,0,0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7099133.0,0.0,7099133.0,7099133.0,19500000.0,13200000.0,34100000.0,8209055.0,SlowDDoS
172.16.1.171,172.16.2.79,262507,2,0,1000,0,1000,0,500.0,707.1067812,0,0,0.0,0.0,3809.422225,7.61884445,262507.0,0.0,262507.0,262507.0,262507.0,262507.0,0.0,262507.0,262507.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,7.61884445,0.0,0,1000,666.6666667,577.3502692,333333.3333,1,1,0,0,0,0,0,0,0,1000.0,500.0,0.0,0,0,0,0,0,0,1,500,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.3.185,172.16.2.136,23500,3,4,305,129,305,0,101.6666667,176.0918321,112,0,32.25,53.7672453,18468.08511,297.8723404,3916.666667,8896.614427,22075.0,179.0,992.0,496.0,49.49747468,531.0,461.0,23271.0,7757.0,12406.82893,22075.0,179.0,0,0,0,0,104,136,127.6595745,170.212766,0,305,54.25,108.4392523,11759.07143,1,2,0,3,6,0,0,0,1,62.0,101.6666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.2.52,172.16.3.228,450585,3,3,1000,0,1000,0,333.3333333,577.3502692,0,0,0.0,0.0,2219.337084,13.3160225,90117.0,142929.4802,340880.0,2.0,450585.0,225292.5,163465.4101,340880.0,109705.0,245.0,122.5,170.4127343,243.0,2.0,0,0,0,0,60,60,6.658011252,6.658011252,0,1000,142.8571429,377.964473,142857.1429,2,1,3,0,3,0,0,0,1,166.6666667,333.3333333,0.0,0,0,0,0,0,0,0,166,0,0,8192,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.1.238,172.16.1.200,70252599,15,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.227749581,4683506.6,3128622.298,10934470.0,34367.0,70252599.0,5018042.786,2958280.264,10934470.0,1246009.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,300,20,0.213515232,0.014234349,0,0,0.0,0.0,0.0,0,0,1,0,15,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,4667952.0,3893097.728,11003696.0,1246009.0,7818806.5,1882636.226,10934470.0,5093864.0,Network
172.16.1.238,172.16.3.193,71796094,15,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.208925015,5128292.429,5373704.038,18174224.0,412714.0,71796094.0,5128292.429,5373704.038,18174224.0,412714.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,300,0,0.208925015,0.0,0,0,0.0,0.0,0.0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,3910947.667,4926377.616,9594691.0,867848.0,9523498.333,5649388.884,18174224.0,5443831.0,Network
172.16.1.5,172.16.3.101,242147,2,0,77,0,77,0,38.5,54.44722215,0,0,0.0,0.0,317.9886598,8.259445709,242147.0,0.0,242147.0,242147.0,242147.0,242147.0,0.0,242147.0,242147.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,8.259445709,0.0,0,77,51.33333333,44.45597073,1976.333333,1,1,0,0,0,0,0,0,0,77.0,38.5,0.0,0,0,0,0,0,0,1,38,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.1.74,172.16.0.18,2526,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,791.7656374,2526.0,0.0,2526.0,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,395.8828187,395.8828187,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.2.3,172.16.1.222,11072285,5,4,0,2541,0,0,0.0,0.0,1448,0,635.25,747.7037626,229.4919251,0.812840349,1384035.625,2337671.157,6773473.0,245.0,4298812.0,1074703.0,2146531.543,4294500.0,245.0,8750963.0,2916987.667,3892598.452,7337247.0,952.0,0,0,0,0,216,128,0.451577971,0.361262377,0,1448,254.1,542.1853824,293964.9889,1,1,0,1,8,0,0,0,0,282.3333333,0.0,635.25,0,0,0,0,0,0,0,0,0,282,64240,507,0,40,4298812.0,0.0,4298812.0,4298812.0,6773473.0,0.0,6773473.0,6773473.0,Application
172.16.3.169,172.16.3.150,12851832,6,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.544669429,2141972.0,2474457.77,6719425.0,4.0,12851832.0,2570366.4,2566828.736,6719425.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,40,0.466859511,0.077809918,0,0,0.0,0.0,0.0,1,3,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,4727271.0,0.0,4727271.0,4727271.0,6719425.0,0.0,6719425.0,6719425.0,Application
172.16.2.30,172.16.1.241,112632106,1225,33,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11.16910661,89603.90294,639856.9723,11000000.0,5.0,113000000.0,92019.69444,648277.2282,11000000.0,5.0,111000000.0,3467283.063,10400000.0,49900000.0,462.0,0,0,0,0,0,0,10.87611733,0.292989283,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000.0,15300000.0,30700000.0,4382.0,9009955.5,2135208.192,11000000.0,6404530.0,Benign
172.16.3.47,172.16.3.131,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.1.105,172.16.3.87,64861439,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.107922367,10800000.0,12300000.0,33300000.0,1046142.0,64900000.0,10800000.0,12300000.0,33300000.0,1046142.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.107922367,0.0,0,0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7269155.0,0.0,7269155.0,7269155.0,19200000.0,12800000.0,33300000.0,8187900.0,SlowDDoS
172.16.1.52,172.16.3.47,634,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3154.574132,634.0,0.0,634.0,634.0,634.0,634.0,0.0,634.0,634.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,3154.574132,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.3.61,172.16.2.240,64235490,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.108974027,10700000.0,12100000.0,32800000.0,1028740.0,64200000.0,10700000.0,12100000.0,32800000.0,1028740.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.108974027,0.0,0,0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7129046.0,0.0,7129046.0,7129046.0,19000000.0,12500000.0,32800000.0,8195329.0,SlowDDoS
172.16.1.135,172.16.1.34,716,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2793.296089,716.0,0.0,716.0,716.0,716.0,716.0,0.0,716.0,716.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2793.296089,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.3.206,172.16.1.234,74316985,20,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.282573358,3715849.25,3213654.124,12667205.0,412098.0,74316985.0,3911420.263,3195192.338,12667205.0,412098.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,400,20,0.269117484,0.013455874,0,0,0.0,0.0,0.0,0,0,1,0,20,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,7822031.25,8476016.097,19910736.0,412098.0,8605772.0,2425211.046,12667205.0,6671475.0,Network
172.16.1.75,172.16.0.79,89726,3,2,126,0,42,42,42.0,0.0,0,0,0.0,0.0,1404.275238,55.72520786,22431.5,34548.79595,73256.0,145.0,89726.0,44863.0,40358.82664,73401.0,16325.0,74569.0,74569.0,0.0,74569.0,74569.0,0,0,0,0,60,40,33.43512471,22.29008314,0,42,28.0,21.68870674,470.4,0,3,2,0,2,0,0,0,0,33.6,42.0,0.0,0,0,0,0,0,0,0,25,0,0,8192,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.16.1.173,172.16.0.136,41542424,8,8,428,488,322,0,53.5,109.4114123,488,0,61.0,172.5340546,22.04974847,0.385148445,2769494.933,4260887.297,10400000.0,243.0,37500000.0,5356165.286,5058673.465,10400000.0,489.0,41400000.0,5919898.857,4574143.333,10400000.0,243.0,0,0,0,0,264,264,0.192574222,0.192574222,0,488,53.88235294,135.895586,18467.61029,1,2,0,6,15,0,0,0,1,57.25,53.5,61.0,0,0,0,0,0,0,0,26,0,30,64240,501,5,32,53383.75,62842.47394,147636.0,20587.0,9319905.5,1360472.288,10400000.0,7347355.0,SlowDDoS
172.16.3.123,172.16.2.7,59365,13,0,18200,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,306577.95,218.98425,4947.083333,593.5487203,5975.0,4132.0,59365.0,4947.083333,593.5487203,5975.0,4132.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,0,218.98425,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1507.692308,1400.0,0.0,0,0,0,18200,13,306577,1,1400,0,0,0,0,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.1.88,172.16.2.189,241,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8298.755187,241.0,0.0,241.0,241.0,241.0,241.0,0.0,241.0,241.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,8298.755187,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,496,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
172.16.0.212,172.16.3.33,5099,3,0,4200,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,823690.9198,588.350657,2549.5,300.520382,2762.0,2337.0,5099.0,2549.5,300.520382,2762.0,2337.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,588.350657,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1866.666667,1400.0,0.0,0,0,0,0,0,0,1,1400,0,0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
